Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
60.3	100	250	-1.994	148
60.4	100	250	-1.994	148
60.5	100	250	-1.994	148
60.6	100	250	-1.994	148
60.7	100	250	-1.994	148
60.8	100	250	-1.994	148
60.9	100	250	-1.994	148
61	100	250	-1.994	148
61.1	100	250	-1.994	148
61.2	100	250	-1.994	148
61.3	100	250	-1.994	148
61.4	100	250	-1.994	148
61.5	100	250	-1.994	148
61.6	100	250	-1.994	148
61.7	100	250	-1.994	148
61.8	100	250	-1.994	148
61.9	100	250	-1.994	148
62	100	250	-1.994	148
62.1	100	250	-1.994	148
62.2	100	250	-1.994	148
62.3	100	250	-1.994	148
62.4	100	250	-1.994	148
62.5	100	250	-1.994	148
62.6	100	250	-1.994	148
62.7	100	250	-1.994	148
62.8	100	250	-1.994	148
62.9	100	250	-1.994	148
63	100	250	-1.994	148
63.1	100	250	-1.994	148
63.2	100	250	-1.994	148
63.3	100	250	-1.994	148
63.4	100	250	-1.994	148
63.5	100	250	-1.994	148
63.6	100	250	-1.994	148
63.7	100	250	-1.994	148
63.8	100	250	-1.994	148
63.9	100	250	-1.994	148
64	100	250	-1.994	148
64.1	100	250	-1.994	148
64.2	100	250	-1.994	148
64.3	100	250	-1.994	148
64.4	100	250	-1.994	148
64.5	100	250	-1.994	148
64.6	100	250	-1.994	148
64.7	100	250	-1.994	148
64.8	100	250	-1.994	148
64.9	100	250	-1.994	148
65	100	250	-1.994	148
65.1	100	250	-1.994	148
65.2	100	250	-1.994	148
65.3	100	250	-1.994	148
65.4	100	250	-1.994	148
65.5	100	250	-1.994	148
65.6	100	250	-1.994	148
65.7	100	250	-1.994	148
65.8	100	250	-1.994	148
65.9	100	250	-1.994	148
66	100	250	-1.994	148
66.1	100	250	-1.994	148
66.2	100	250	-1.994	148
66.3	100	250	-1.994	148
66.4	100	250	-1.994	148
66.5	100	250	-1.994	148
66.6	100	250	-1.994	148
66.7	100	250	-1.994	148
66.8	100	250	-1.994	148
66.9	100	250	-1.994	148
67	100	250	-1.994	148
67.1	100	250	-1.994	148
67.2	100	250	-1.994	148
67.3	100	250	-1.994	148
67.4	100	250	-1.994	148
67.5	100	250	-1.994	148
67.6	100	250	-1.994	148
67.7	100	250	-1.994	148
67.8	100	250	-1.994	148
67.9	100	250	-1.994	148
68	100	250	-1.994	148
68.1	100	250	-1.994	148
68.2	100	250	-1.994	148
68.3	100	250	-1.994	148
68.4	100	250	-1.994	148
68.5	100	250	-1.994	148
68.6	100	250	-1.994	148
68.7	100	250	-1.994	148
68.8	100	250	-1.994	148
68.9	100	250	-1.994	148
69	100	250	-1.994	148
69.1	100	250	-1.994	148
69.2	100	250	-1.994	148
69.3	100	250	-1.994	148
69.4	100	250	-1.994	148
69.5	100	250	-1.994	148
69.6	100	250	-1.994	148
69.7	100	250	-1.994	148
69.8	100	250	-1.994	148
69.9	100	250	-1.994	148
70	100	250	-1.994	148
70.1	100	250	-1.994	148
70.2	100	250	-1.994	148
70.3	100	250	-1.994	148
70.4	100	250	-1.994	148
70.5	100	250	-1.994	148
70.6	100	250	-1.994	148
70.7	100	250	-1.994	148
70.8	100	250	-1.994	148
70.9	100	250	-1.994	148
71	100	250	-1.994	148
71.1	100	250	-1.994	148
71.2	100	250	-1.994	148
71.3	100	250	-1.994	148
71.4	100	250	-1.994	148
71.5	100	250	-1.994	148
71.6	100	250	-1.994	148
71.7	100	250	-1.994	148
71.8	100	250	-1.994	148
71.9	100	250	-1.994	148
72	100	250	-1.994	148
72.1	100	250	-1.994	148
72.2	100	250	-1.994	148
72.3	100	250	-1.994	148
72.4	100	250	-1.994	148
72.5	100	250	-1.994	148
72.6	100	250	-1.994	148
72.7	100	250	-1.994	148
72.8	100	250	-1.994	148
72.9	100	250	-1.994	148
73	100	250	-1.994	148
73.1	100	250	-1.994	148
73.2	100	250	-1.994	148
73.3	100	250	-1.994	148
73.4	100	250	-1.994	148
73.5	100	250	-1.994	148
73.6	100	250	-1.994	148
73.7	100	250	-1.994	148
73.8	100	250	-1.994	148
73.9	100	250	-1.994	148
74	100	250	-1.994	148
74.1	100	250	-1.994	148
74.2	100	250	-1.994	148
74.3	100	250	-1.994	148
74.4	100	250	-1.994	148
74.5	100	250	-1.994	148
74.6	100	250	-1.994	148
74.7	100	250	-1.994	148
74.8	100	250	-1.994	148
74.9	100	250	-1.994	148
75	100	250	-1.994	148
75.1	100	250	-1.994	148
75.2	100	250	-1.994	148
75.3	100	250	-1.994	148
75.4	100	250	-1.994	148
75.5	100	250	-1.994	148
75.6	100	250	-1.994	148
75.7	100	250	-1.994	148
75.8	100	250	-1.994	148
75.9	100	250	-1.994	148
76	100	250	-1.994	148
76.1	100	250	-1.994	148
76.2	100	250	-1.994	148
76.3	100	250	-1.994	148
76.4	100	250	-1.994	148
76.5	100	250	-1.994	148
76.6	100	250	-1.994	148
76.7	100	250	-1.994	148
76.8	100	250	-1.994	148
76.9	100	250	-1.994	148
77	100	250	-1.994	148
77.1	100	250	-1.994	148
77.2	100	250	-1.994	148
77.3	100	250	-1.994	148
77.4	100	250	-1.994	148
77.5	100	250	-1.994	148
77.6	100	250	-1.994	148
77.7	100	250	-1.994	148
77.8	100	250	-1.994	148
77.9	100	250	-1.994	148
78	100	250	-1.994	148
78.1	100	250	-1.994	148
78.2	100	250	-1.994	148
78.3	100	250	-1.994	148
78.4	100	250	-1.994	148
78.5	100	250	-1.994	148
78.6	100	250	-1.994	148
78.7	100	250	-1.994	148
78.8	100	250	-1.994	148
78.9	100	250	-1.994	148
79	100	250	-1.994	148
79.1	100	250	-1.994	148
79.2	100	250	-1.994	148
79.3	100	250	-1.994	148
79.4	100	250	-1.994	148
79.5	100	250	-1.994	148
79.6	100	250	-1.994	148
79.7	100	250	-1.994	148
79.8	100	250	-1.994	148
