Time_s,Load_kW,P_grid_kW,P_bat_kW,A_window_kW,P_req_kW,en,comm,alarm
25.500,200.000,200.000,0.000,200.000,0.000,1,0,0
25.600,200.000,200.000,0.000,200.000,0.000,1,0,0
25.700,200.000,200.000,0.000,200.000,0.000,1,0,0
25.800,200.000,200.000,0.000,200.000,0.000,1,0,0
25.900,200.000,200.000,0.000,200.000,0.000,1,0,0
26.000,200.000,200.000,0.000,200.000,0.000,1,0,0
26.100,200.000,200.000,0.000,200.000,0.000,1,0,0
26.200,200.000,200.000,0.000,200.000,0.000,1,0,0
26.300,200.000,200.000,0.000,200.000,0.000,1,0,0
26.400,200.000,200.000,0.000,200.000,0.000,1,0,0
26.500,200.000,200.000,0.000,200.000,0.000,1,0,0
26.600,200.000,200.000,0.000,200.000,0.000,1,0,0
26.700,200.000,200.000,0.000,200.000,0.000,1,0,0
26.800,200.000,200.000,0.000,200.000,0.000,1,0,0
26.900,200.000,200.000,0.000,200.000,0.000,1,0,0
27.000,200.000,200.000,0.000,200.000,0.000,1,0,0
27.100,200.000,200.000,0.000,200.000,0.000,1,0,0
27.200,200.000,200.000,0.000,200.000,0.000,1,0,0
27.300,200.000,200.000,0.000,200.000,0.000,1,0,0
27.400,200.000,200.000,0.000,200.000,0.000,1,0,0
27.500,200.000,200.000,0.000,200.000,0.000,1,0,0
27.600,200.000,200.000,0.000,200.000,0.000,1,0,0
27.700,200.000,200.000,0.000,200.000,0.000,1,0,0
27.800,200.000,200.000,0.000,200.000,0.000,1,0,0
27.900,200.000,200.000,0.000,200.000,0.000,1,0,0
28.000,200.000,200.000,0.000,200.000,0.000,1,0,0
28.100,200.000,200.000,0.000,200.000,0.000,1,0,0
28.200,200.000,200.000,0.000,200.000,0.000,1,0,0
28.300,200.000,200.000,0.000,200.000,0.000,1,0,0
28.400,200.000,200.000,0.000,200.000,0.000,1,0,0
28.500,200.000,200.000,0.000,200.000,0.000,1,0,0
28.600,200.000,200.000,0.000,200.000,0.000,1,0,0
28.700,200.000,200.000,0.000,200.000,0.000,1,0,0
28.800,200.000,200.000,0.000,200.000,0.000,1,0,0
28.900,200.000,200.000,0.000,200.000,0.000,1,0,0
29.000,200.000,200.000,0.000,200.000,0.000,1,0,0
29.100,200.000,200.000,0.000,200.000,0.000,1,0,0
29.200,200.000,200.000,0.000,200.000,0.000,1,0,0
29.300,200.000,200.000,0.000,200.000,0.000,1,0,0
29.400,200.000,200.000,0.000,200.000,0.000,1,0,0
29.500,200.000,200.000,0.000,200.000,0.000,1,0,0
29.600,200.000,200.000,0.000,200.000,0.000,1,0,0
29.700,200.000,200.000,0.000,200.000,0.000,1,0,0
29.800,200.000,200.000,0.000,200.000,0.000,1,0,0
29.900,200.000,200.000,0.000,200.000,0.000,1,0,0
30.000,200.000,200.000,0.000,200.000,0.000,1,0,0
30.100,200.000,200.000,0.000,200.000,0.000,1,0,0
30.200,200.000,200.000,0.000,200.000,0.000,1,0,0
30.300,200.000,200.000,0.000,200.000,0.000,1,0,0
30.400,200.000,200.000,0.000,200.000,0.000,1,0,0
30.500,200.000,200.000,0.000,200.000,0.000,1,0,0
30.600,200.000,200.000,0.000,200.000,0.000,1,0,0
30.700,200.000,200.000,0.000,200.000,0.000,1,0,0
30.800,200.000,200.000,0.000,200.000,0.000,1,0,0
30.900,200.000,200.000,0.000,200.000,0.000,1,0,0
31.000,200.000,200.000,0.000,200.000,0.000,1,0,0
31.100,200.000,200.000,0.000,200.000,0.000,1,0,0
31.200,200.000,200.000,0.000,200.000,0.000,1,0,0
31.300,200.000,200.000,0.000,200.000,0.000,1,0,0
31.400,200.000,200.000,0.000,200.000,0.000,1,0,0
31.500,200.000,200.000,0.000,200.000,0.000,1,0,0
31.600,200.000,200.000,0.000,200.000,0.000,1,0,0
31.700,200.000,200.000,0.000,200.000,0.000,1,0,0
31.800,200.000,200.000,0.000,200.000,0.000,1,0,0
31.900,200.000,200.000,0.000,200.000,0.000,1,0,0
32.000,200.000,200.000,0.000,200.000,0.000,1,0,0
32.100,200.000,200.000,0.000,200.000,0.000,1,0,0
32.200,200.000,200.000,0.000,200.000,0.000,1,0,0
32.300,200.000,200.000,0.000,200.000,0.000,1,0,0
32.400,200.000,200.000,0.000,200.000,0.000,1,0,0
32.500,200.000,200.000,0.000,200.000,0.000,1,0,0
32.600,200.000,200.000,0.000,200.000,0.000,1,0,0
32.700,200.000,200.000,0.000,200.000,0.000,1,0,0
32.800,200.000,200.000,0.000,200.000,0.000,1,0,0
32.900,200.000,200.000,0.000,200.000,0.000,1,0,0
33.000,200.000,200.000,0.000,200.000,0.000,1,0,0
33.100,200.000,200.000,0.000,200.000,0.000,1,0,0
33.200,200.000,200.000,0.000,200.000,0.000,1,0,0
33.300,200.000,200.000,0.000,200.000,0.000,1,0,0
33.400,200.000,200.000,0.000,200.000,0.000,1,0,0
33.500,200.000,200.000,0.000,200.000,0.000,1,0,0
33.600,200.000,200.000,0.000,200.000,0.000,1,0,0
33.700,200.000,200.000,0.000,200.000,0.000,1,0,0
33.800,200.000,200.000,0.000,200.000,0.000,1,0,0
33.900,200.000,200.000,0.000,200.000,0.000,1,0,0
34.000,200.000,200.000,0.000,200.000,0.000,1,0,0
34.100,200.000,200.000,0.000,200.000,0.000,1,0,0
34.200,200.000,200.000,0.000,200.000,0.000,1,0,0
34.300,200.000,200.000,0.000,200.000,0.000,1,0,0
34.400,200.000,200.000,0.000,200.000,0.000,1,0,0
34.500,200.000,200.000,0.000,200.000,0.000,1,0,0
34.600,200.000,200.000,0.000,200.000,0.000,1,0,0
34.700,200.000,200.000,0.000,200.000,0.000,1,0,0
34.800,200.000,200.000,0.000,200.000,0.000,1,0,0
34.900,200.000,200.000,0.000,200.000,0.000,1,0,0
35.000,200.000,200.000,0.000,200.000,0.000,1,0,0
35.100,200.000,200.000,0.000,200.000,0.000,1,0,0
35.200,200.000,200.000,0.000,200.000,0.000,1,0,0
35.300,200.000,200.000,0.000,200.000,0.000,1,0,0
35.400,200.000,200.000,0.000,200.000,0.000,1,0,0
35.500,200.000,200.000,0.000,200.000,0.000,1,0,0
35.600,200.000,200.000,0.000,200.000,0.000,1,0,0
35.700,200.000,200.000,0.000,200.000,0.000,1,0,0
35.800,200.000,200.000,0.000,200.000,0.000,1,0,0
35.900,200.000,200.000,0.000,200.000,0.000,1,0,0
36.000,200.000,200.000,0.000,200.000,0.000,1,0,0
36.100,200.000,200.000,0.000,200.000,0.000,1,0,0
36.200,200.000,200.000,0.000,200.000,0.000,1,0,0
36.300,200.000,200.000,0.000,200.000,0.000,1,0,0
36.400,200.000,200.000,0.000,200.000,0.000,1,0,0
36.500,200.000,200.000,0.000,200.000,0.000,1,0,0
36.600,200.000,200.000,0.000,200.000,0.000,1,0,0
36.700,200.000,200.000,0.000,200.000,0.000,1,0,0
36.800,200.000,200.000,0.000,200.000,0.000,1,0,0
36.900,200.000,200.000,0.000,200.000,0.000,1,0,0
37.000,200.000,200.000,0.000,200.000,0.000,1,0,0
37.100,200.000,200.000,0.000,200.000,0.000,1,0,0
37.200,200.000,200.000,0.000,200.000,0.000,1,0,0
37.300,200.000,200.000,0.000,200.000,0.000,1,0,0
37.400,200.000,200.000,0.000,200.000,0.000,1,0,0
37.500,200.000,200.000,0.000,200.000,0.000,1,0,0
37.600,200.000,200.000,0.000,200.000,0.000,1,0,0
37.700,200.000,200.000,0.000,200.000,0.000,1,0,0
37.800,200.000,200.000,0.000,200.000,0.000,1,0,0
37.900,200.000,200.000,0.000,200.000,0.000,1,0,0
38.000,200.000,200.000,0.000,200.000,0.000,1,0,0
38.100,200.000,200.000,0.000,200.000,0.000,1,0,0
38.200,200.000,200.000,0.000,200.000,0.000,1,0,0
38.300,200.000,200.000,0.000,200.000,0.000,1,0,0
38.400,200.000,200.000,0.000,200.000,0.000,1,0,0
38.500,200.000,200.000,0.000,200.000,0.000,1,0,0
38.600,200.000,200.000,0.000,200.000,0.000,1,0,0
38.700,200.000,200.000,0.000,200.000,0.000,1,0,0
38.800,200.000,200.000,0.000,200.000,0.000,1,0,0
38.900,200.000,200.000,0.000,200.000,0.000,1,0,0
39.000,200.000,200.000,0.000,200.000,0.000,1,0,0
39.100,200.000,200.000,0.000,200.000,0.000,1,0,0
39.200,200.000,200.000,0.000,200.000,0.000,1,0,0
39.300,200.000,200.000,0.000,200.000,0.000,1,0,0
39.400,200.000,200.000,0.000,200.000,0.000,1,0,0
39.500,200.000,200.000,0.000,200.000,0.000,1,0,0
39.600,200.000,200.000,0.000,200.000,0.000,1,0,0
39.700,200.000,200.000,0.000,200.000,0.000,1,0,0
39.800,200.000,200.000,0.000,200.000,0.000,1,0,0
